movimiento_id,buque_id,matricula,radar_id,muelle,tipo_carga,origen,fecha_ingreso,hora_ingreso,fecha_egreso,hora_egreso,tonelaje_declarado,velocidad_ingreso,velocidad_maxima_muelle,estado_despacho,timestamp_ingreso,timestamp_egreso,duracion_horas,exceso_velocidad_real,exceso_velocidad
MOV-00005,B-017,ONE-PLATA,R-03,MUELLE-E,SOJA,VALPARAISO,2024-05-13,16:58,2024-05-13,02:16,6166.47,16.2,15,PENDIENTE,2024-05-13 16:58:00,2024-05-13 02:16:00,-14.7,1.1999999999999993,0.4499999999999993
MOV-00012,B-023,ONE-PARANA,R-04,MUELLE-F,SOJA,SHANGHAI,1900-01-01,05:51,2024-11-06,01:51,6969.71,11.2,10,RECHAZADO,1900-01-01 05:51:00,2024-11-06 01:51:00,1094396.0,1.1999999999999993,0.6999999999999993
MOV-00013,B-015,ZIM-DELTA,R-01,MUELLEF,TRIGO,ROTTERDAM,2021-12-20,20:32,2021-12-23,05:43,4918.63,13.1,12,EN_REVISION,2021-12-20 20:32:00,2021-12-23 05:43:00,57.18333333333333,1.0999999999999996,0.4999999999999982
MOV-00016,B-032,COSCO-TIGRE,R-04,MUELLE-B,GRANOS,BUENOS AIRES,2022-11-26,14:03,2022-11-28,02:49,5421.5,17.3,15,RECHAZADO,2022-11-26 14:03:00,2022-11-28 02:49:00,36.766666666666666,2.3000000000000007,1.5500000000000007
MOV-00018,B-023,YANG-MING,R-07,MUELLE-D,TRIGO,HAMBURG,2021-11-19,21:43,2021-11-22,00:22,4801.28,15.4,12,PENDIENTE,2021-11-19 21:43:00,2021-11-22 00:22:00,50.65,3.4000000000000004,2.799999999999999
MOV-00026,B-006,YANG-ESTE,R-01,MUELLE-D,ACEITE,VALPARAISO,2023-04-17,00:48,2023-04-18,00:00,7576.43,16.2,15,DESPACHADO,2023-04-17 00:48:00,2023-04-18 00:00:00,23.2,1.1999999999999993,0.4499999999999993
MOV-00027,B-026,ZIM-NORTE,R-01,MUELLE-D,SOJA,SHANGHAI,2024-11-06,16:52,2024-11-06,19:10,3586.83,19.1,12,EN_REVISION,2024-11-06 16:52:00,2024-11-06 19:10:00,2.3,7.100000000000001,6.5
MOV-00029,B-033,PIL-SANTA,R-01,MUELLE-C,HARINA,HAMBURG,2023-02-04,17:24,2023-02-07,03:49,3696.06,13.1,12,PENDIENTE,2023-02-04 17:24:00,2023-02-07 03:49:00,58.416666666666664,1.0999999999999996,0.4999999999999982
MOV-00031,B-028,MAERSK-LIMA,R-02,MUELLE-D,MAIZ,VALPARAISO,2022-01-04,11:27,2022-01-05,01:21,7051.4,13.5,12,DESPACHADO,2022-01-04 11:27:00,2022-01-05 01:21:00,13.9,1.5,0.8999999999999986
MOV-00040,B-014,CMA-ROSARIO,R-08,MUELLE-B,SOJA,SHANGHAI,2024-07-11,13:54,2024-07-11,07:21,5727.86,13.6,10,EN_REVISION,2024-07-11 13:54:00,2024-07-11 07:21:00,-6.55,3.5999999999999996,3.0999999999999996
MOV-00045,B-013,MSC-ALPHA,R-08,MUELLE-E,MAIZ,SANTA FE,1900-01-01,02:32,2024-01-03,16:59,7045.67,15.9,12,RECHAZADO,1900-01-01 02:32:00,2024-01-03 16:59:00,1087022.45,3.9000000000000004,3.299999999999999
MOV-00046,B-017,YANG-ESTE,R-03,MUELLE-C,SOJA,MONTEVIDEO,2022-03-13,04:38,2022-03-13,04:59,4352.23,16.1,15,EN_REVISION,2022-03-13 04:38:00,2022-03-13 04:59:00,0.35,1.1000000000000014,0.3500000000000014
MOV-00053,B-019,MSC-ALPHA,R-02,MUELLE-A,ACEITE,VALPARAISO,2023-11-13,14:22,2023-11-16,06:21,3200.68,13.6,10,EN_REVISION,2023-11-13 14:22:00,2023-11-16 06:21:00,63.983333333333334,3.5999999999999996,3.0999999999999996
MOV-00056,B-020,COSCO-TIGRE,R-08,MUELLE-E,CONTENEDORES,ROTTERDAM,2022-07-10,14:43,2022-07-13,23:39,5739.47,13.9,10,DESPACHADO,2022-07-10 14:43:00,2022-07-13 23:39:00,80.93333333333334,3.9000000000000004,3.4000000000000004
MOV-00062,B-010,ZIM-DELTA,R-01,MUELLE-E,SOJA,SAO PAULO,2023-11-15,06:26,2023-11-18,21:09,3834.7,13.1,12,DESPACHADO,2023-11-15 06:26:00,2023-11-18 21:09:00,86.71666666666667,1.0999999999999996,0.4999999999999982
MOV-00065,B-004,COSCO-STAR,R-04,MUELLE-E,GRANOS,MONTEVIDEO,2024-09-08,12:50,2024-09-11,11:19,5551.09,10.7,10,RECHAZADO,2024-09-08 12:50:00,2024-09-11 11:19:00,70.48333333333333,0.6999999999999993,0.1999999999999993
MOV-00072,B-015,YANG-MING,R-03,MUELLE-D,GRANOS,ROTTERDAM,2021-06-06,06:21,2021-06-06,03:44,4397.33,11.4,10,RECHAZADO,2021-06-06 06:21:00,2021-06-06 03:44:00,-2.6166666666666667,1.4000000000000004,0.9000000000000004
MOV-00081,B-021,HAPAG-RIO,R-07,MUELLE-C,HARINA,HAMBURG,2022-01-17,03:59,2022-01-18,07:00,4553.31,14.2,12,PENDIENTE,2022-01-17 03:59:00,2022-01-18 07:00:00,27.016666666666666,2.1999999999999993,1.5999999999999979
