movimiento_id,buque_id,matricula,radar_id,muelle,tipo_carga,origen,fecha_ingreso,hora_ingreso,fecha_egreso,hora_egreso,tonelaje_declarado,velocidad_ingreso,velocidad_maxima_muelle,estado_despacho
MOV-00001,B-008,MSC-GENOVA,R-05,MUELLE-B,TRIGO,MONTEVIDEO,2023-04-24,13:02,2023-04-24,10:55 PM,3874.34,6.3,10,DESPACHADO
MOV-00002,B-025,MAERSK-LIMA,R-06,MUELLE-C,HARINA,SANTA FE,2020-06-10,17:18,2020-06-12,7:05,1856.07,10.2,12,RECHAZADO
MOV-00003,B-011,ZIM-NORTE,R-04,MUELLE-B,MINERALES,ROTTERDAM,32/13/2021,21:20,2021-03-26,19:01,6711.61,11.7,15,EN_REVISION
MOV-00004,B-038,,R-06,MUELLE-B,MAIZ,HAMBURG,2023-07-09,5:50,2023-07-11,1:20,5086.61,6.0,10,DESPACHADO
MOV-00005,B-017,ONE-PLATA,R-03,MUELLE-E,SOJA,VALPARAISO,2024-05-13,16:58,2024-05-13,2:16,6166.47,16.2,15,PENDIENTE
MOV-00006,B-011,PIL-SANTA,R-07,MUELLE-B,TRIGO,VALPARAISO,2022-11-25,14:07,2022-11-27,1:06 AM,6737.72,11.9,12,RECHAZADO
MOV-00007,B-031,ZIM-DELTA,R-08,MUELLE-D,TRIGO,BUENOS AIRES,2022-08-14,23:03,2022-08-15,2:13,4392.55,9.6,12,
MOV-00008,B-006,ZIM-DELTA,R-03,MUELLE-D,MINERALES,HAMBURG,2022-02-15,0:24,2022-02-16,23:15,6707.83,7.1,10,PENDIENTE
MOV-00009,B-034,,R-01,MUELLE-E,SOJA,MONTEVIDEO,32/13/2021,3:56,2022-04-07,3:18,3511.75,9.5,10,DESPACHADO
MOV-00010,B-037,MAERSK-LIMA,R-02,MUELLE-E,TRIGO,VALPARAISO,2022-01-26,AB:CD,2022-01-28,13:30,7260.84,9.5,10,PENDIENTE
MOV-00011,B-014,PIL-SANTA,R-08,muelle  c!!,GRANOS,BUENOS AIRES,2024-04-28,4:40,2024-04-29,11:59,,11.2,12,RECHAZADO
MOV-00012,B-023,ONE-PARANA,R-04,MUELLE-F,SOJA,SHANGHAI,32/13/2021,5:51,2024-11-06,1:51,6969.71,11.2,10,RECHAZADO
